Inicio;Fin;IRI
595860;595880;3,7
595880;595900;3,4
595900;595920;6,0
595920;595940;3,6
595940;595960;7,0
595960;595980;4,9
595980;596000;3,2
596000;596020;3,5
596020;596040;6,2
596040;596060;5,3
596060;596080;2,8
596080;596100;2,1
596100;596120;2,4
596120;596140;2,4
596140;596160;1,9
596160;596180;2,1
596180;596200;2,3
596200;596220;2,6
596220;596240;3,8
596240;596260;2,6
596260;596280;2,3
596280;596300;2,7
596300;596320;3,3
596320;596340;2,2
596340;596360;2,3
596360;596380;2,5
596380;596400;2,2
596400;596420;1,8
596420;596440;2,5
596440;596460;2,1
596460;596480;2,1
596480;596500;2,4
596500;596520;2,5
596520;596540;2,2
596540;596560;3,1
596560;596580;1,9
596580;596600;1,7
596600;596620;2,1
596620;596640;2,5
596640;596660;1,8
596660;596680;2,4
596680;596700;2,2
596700;596720;2,1
596720;596740;2,0
596740;596760;1,7
596760;596780;1,8
596780;596800;2,8
596800;596820;2,6
596820;596840;2,1
596840;596860;1,7
596860;596880;1,7
596880;596900;1,9
596900;596920;1,6
596920;596940;2,2
596940;596960;2,4
596960;596980;2,1
596980;597000;2,3
597000;597020;3,8
597020;597040;3,1
597040;597060;2,4
597060;597080;1,7
597080;597100;1,3
597100;597120;1,8
597120;597140;2,0
597140;597160;1,9
597160;597180;2,2
597180;597200;2,1
597200;597220;2,1
597220;597240;2,9
597240;597260;2,8
597260;597280;3,1
597280;597300;1,8
597300;597320;2,1
597320;597340;2,1
597340;597360;2,0
597360;597380;2,1
597380;597400;2,9
597400;597420;3,0
597420;597440;3,1
597440;597460;3,4
597460;597480;2,8
597480;597500;2,1
597500;597520;2,4
597520;597540;2,1
597540;597560;1,6
597560;597580;2,4
597580;597600;2,5
597600;597620;2,2
597620;597640;1,8
597640;597660;1,9
597660;597680;2,1
597680;597700;2,6
597700;597720;2,7
597720;597740;2,7
597740;597760;3,6
597760;597780;3,3
597780;597800;4,0
597800;597820;2,4
597820;597840;2,7
597840;597860;3,9
597860;597880;2,9
597880;597900;3,6
597900;597920;2,2
597920;597940;2,5
597940;597960;2,9
597960;597980;4,1
597980;598000;4,2
598000;598020;2,9
598020;598040;2,9
598040;598060;2,3
598060;598080;2,6
598080;598100;3,0
598100;598120;2,8
598120;598140;2,9
598140;598160;2,4
598160;598180;2,7
598180;598200;2,2
598200;598220;2,6
598220;598240;2,8
598240;598260;3,6
598260;598280;2,2
598280;598300;3,0
598300;598320;2,0
598320;598340;2,0
598340;598360;2,3
598360;598380;2,7
598380;598400;3,1
598400;598420;3,2
598420;598440;2,6
598440;598460;2,8
598460;598480;3,0
598480;598500;4,8
598500;598520;3,5
598520;598540;3,7
598540;598560;3,3
598560;598580;2,5
598580;598600;2,2
598600;598620;3,1
598620;598640;3,5
598640;598660;3,0
598660;598680;2,2
598680;598700;2,5
598700;598720;2,4
598720;598740;3,8
598740;598760;5,5
598760;598780;3,3
598780;598800;3,7
598800;598820;3,7
598820;598840;3,1
598840;598860;3,5
598860;598880;2,9
598880;598900;2,6
598900;598920;2,9
598920;598940;2,6
598940;598960;3,6
598960;598980;3,6
598980;599000;2,3
599000;599020;2,3
599020;599040;2,3
599040;599060;3,0
599060;599080;3,0
599080;599100;3,8
599100;599120;2,7
599120;599140;2,2
599140;599160;2,5
599160;599180;2,3
599180;599200;2,4
599200;599220;2,7
599220;599240;2,1
599240;599260;2,5
599260;599280;2,3
599280;599300;2,7
599300;599320;2,8
599320;599340;3,0
599340;599360;3,3
599360;599380;3,5
599380;599400;3,6
599400;599420;2,9
599420;599440;2,5
599440;599460;3,5
599460;599480;3,0
599480;599500;3,2
599500;599520;2,7
599520;599540;3,9
599540;599560;2,9
599560;599580;5,5
599580;599600;2,7
599600;599620;2,2
599620;599640;2,3
599640;599660;2,1
599660;599680;2,1
599680;599700;2,7
599700;599720;1,9
599720;599740;1,9
599740;599760;2,1
599760;599780;2,4
599780;599800;1,9
599800;599820;1,7
599820;599840;2,5
599840;599860;2,9
599860;599880;2,2
599880;599900;2,2
599900;599920;2,5
599920;599940;3,8
599940;599960;2,4
599960;599980;1,8
599980;600000;1,8
600000;600020;3,0
600020;600040;1,9
600040;600060;5,1
600060;600080;4,1
600080;600100;3,7
600100;600120;2,1
600120;600140;2,2
600140;600160;2,1
600160;600180;2,0
600180;600200;2,2
600200;600220;2,8
600220;600240;2,8
600240;600260;2,6
600260;600280;2,4
600280;600300;2,1
600300;600320;2,0
600320;600340;2,4
600340;600360;2,1
600360;600380;1,7
600380;600400;1,9
600400;600420;2,0
600420;600440;2,4
600440;600460;2,5
600460;600480;2,5
600480;600500;2,7
600500;600520;2,1
600520;600540;2,5
600540;600560;2,7
600560;600580;2,8
600580;600600;2,1
600600;600620;2,0
600620;600640;2,5
600640;600660;2,7
600660;600680;2,6
600680;600700;3,0
600700;600720;2,9
600720;600740;3,3
600740;600760;2,7
600760;600780;2,6
600780;600800;2,9
600800;600820;3,7
600820;600840;2,4
600840;600860;1,9
600860;600880;1,8
600880;600900;1,8
600900;600920;2,0
600920;600940;2,7
600940;600960;3,0
600960;600980;3,3
600980;601000;3,4
601000;601020;3,8
601020;601040;3,9
601040;601060;3,6
601060;601080;3,5
601080;601100;3,2
601100;601120;2,9
601120;601140;3,4
601140;601160;1,8
601160;601180;2,2
601180;601200;2,9
601200;601220;2,6
601220;601240;3,3
601240;601260;1,8
601260;601280;2,0
601280;601300;1,9
601300;601320;1,8
601320;601340;1,8
601340;601360;1,7
601360;601380;1,8
601380;601400;1,9
601400;601420;2,1
601420;601440;2,0
601440;601460;2,4
601460;601480;2,8
601480;601500;2,7
601500;601520;2,3
601520;601540;2,5
601540;601560;3,6
601560;601580;4,0
601580;601600;4,9
601600;601620;3,1
601620;601640;2,9
601640;601660;2,3
601660;601680;2,1
601680;601700;2,4
601700;601720;2,5
601720;601740;2,8
601740;601760;3,0
601760;601780;2,5
601780;601800;3,2
601800;601820;3,0
601820;601840;2,4
601840;601860;2,5
601860;601880;2,1
601880;601900;2,1
601900;601920;2,2
601920;601940;1,7
601940;601960;2,8
601960;601980;2,6
601980;602000;2,7
602000;602020;2,2
602020;602040;2,3
602040;602060;2,8
602060;602080;3,0
602080;602100;2,4
602100;602120;1,8
602120;602140;2,1
602140;602160;2,4
602160;602180;2,9
602180;602200;2,7
602200;602220;2,4
602220;602240;2,1
602240;602260;2,0
602260;602280;1,9
602280;602300;1,5
602300;602320;1,6
602320;602340;2,2
602340;602360;2,3
602360;602380;2,3
602380;602400;2,0
602400;602420;1,8
602420;602440;2,0
602440;602460;1,7
602460;602480;2,0
602480;602500;2,0
602500;602520;2,1
602520;602540;2,1
602540;602560;2,2
602560;602580;2,0
602580;602600;2,1
602600;602620;2,2
602620;602640;2,5
602640;602660;2,5
602660;602680;2,4
602680;602700;2,7
602700;602720;2,6
602720;602740;2,6
602740;602760;2,3
602760;602780;2,0
602780;602800;2,3
602800;602820;2,4
602820;602840;2,4
602840;602860;3,0
602860;602880;2,5
602880;602900;3,2
602900;602920;2,9
602920;602940;2,7
602940;602960;3,5
602960;602980;4,2
602980;603000;3,3
603000;603020;2,9
603020;603040;2,7
603040;603060;2,1
603060;603080;2,3
603080;603100;3,3
603100;603120;2,3
603120;603140;2,3
603140;603160;2,3
603160;603180;2,2
603180;603200;2,5
603200;603220;2,2
603220;603240;2,4
603240;603260;2,1
603260;603280;1,8
603280;603300;1,8
603300;603320;1,8
603320;603340;1,7
603340;603360;3,4
603360;603380;2,0
603380;603400;2,4
603400;603420;2,3
603420;603440;2,4
603440;603460;3,2
603460;603480;3,6
603480;603500;2,6
603500;603520;2,4
603520;603540;2,2
603540;603560;3,4
603560;603580;3,1
603580;603600;2,4
603600;603620;2,8
603620;603640;2,8
603640;603660;3,0
603660;603680;1,7
603680;603700;1,4
603700;603720;1,4
603720;603740;2,2
603740;603760;2,4
603760;603780;1,9
603780;603800;1,8
603800;603820;2,1
603820;603840;2,5
603840;603860;4,0
603860;603880;3,5
603880;603900;3,6
603900;603920;3,2
603920;603940;3,7
603940;603960;4,5
603960;603980;3,7
603980;604000;3,0
604000;604020;2,2
604020;604040;2,2
604040;604060;2,4
